Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot Cases/1M pop
Total:,301627,26080,12955,1575,94625,194047,9369,38.7
China,81008,41,3255,7,71740,6013,1927,56
Italy,53578,6557,4825,793,6072,42681,2857,886
Spain,25374,3803,1378,285,2125,21871,1612,543
USA,22813,3430,288,32,171,22354,64,69
Germany,22084,2236,83,15,209,21792,2,264
Iran,20610,966,1556,123,7635,11419,0,245
France,14459,1847,562,112,1587,12310,1525,222
S. Korea,8799,147,102,8,2612,6085,59,172
Switzerland,6489,874,74,18,15,6400,141,750
UK,5018,1035,233,56,65,4720,20,74
Netherlands,3631,637,136,30,2,3493,354,212
Austria,2847,198,8,2,9,2830,15,316
Belgium,2815,558,67,30,263,2485,288,243
Norway,2128,169,7,0,1,2120,28,393
Sweden,1764,125,20,4,16,1728,69,175
Denmark,1326,71,13,4,1,1312,42,229
Portugal,1280,260,12,6,5,1263,26,126
Malaysia,1183,153,8,5,114,1061,26,37
Canada,1145,58,13,1,14,1118,1,30
Australia,1072,144,7,0,46,1019,2,42
Japan,1046,39,36,1,215,795,55,8
Brazil,1021,51,18,7,2,1001,18,5
Czechia,995,162,0,0,6,989,7,93
Israel,883,178,1,0,36,846,15,102
Pakistan,720,219,3,0,13,704,0,3
Diamond Princess,712,0,8,0,567,137,15,0
Ireland,683,0,3,0,5,675,6,138
Luxembourg,670,186,8,3,6,656,3,1070
Turkey,670,0,9,0,0,661,0,8
Chile,537,103,0,0,8,529,7,28
Greece,530,35,13,3,19,498,20,51
Finland,521,71,1,1,10,510,2,94
Ecuador,506,80,7,0,3,496,2,29
Poland,492,67,5,0,13,474,3,13
Qatar,481,11,0,0,27,454,6,167
Iceland,473,64,1,1,5,467,1,1386
Indonesia,450,81,38,6,20,392,0,2
Singapore,432,47,2,2,140,290,14,74
Thailand,411,89,1,0,44,366,7,6
Saudi Arabia,392,48,0,0,16,376,0,11
Slovenia,383,42,1,0,0,382,12,184
Romania,367,59,0,0,52,315,14,19
India,329,80,5,0,23,301,0,0.2
Bahrain,310,12,1,0,125,184,4,182
Philippines,307,77,19,1,13,275,1,3
Estonia,306,23,0,0,2,304,1,231
Russia,306,53,1,0,16,289,0,2
Egypt,285,0,8,0,42,235,0,3
Hong Kong,273,17,4,0,98,171,4,36
Peru,263,0,4,0,1,258,5,8
South Africa,240,38,0,0,2,238,0,4
Lebanon,230,53,4,0,8,218,4,34
Iraq,214,6,17,0,51,146,0,5
Croatia,206,76,1,0,5,200,0,50
Mexico,203,39,2,1,4,197,1,2
Panama,200,0,1,0,1,198,7,46
Colombia,196,51,0,0,1,195,0,4
Slovakia,178,41,0,0,7,171,2,33
Kuwait,176,17,0,0,27,149,5,41
Serbia,171,36,1,0,2,168,4,20
Bulgaria,163,36,3,0,3,157,3,23
Armenia,160,24,0,0,1,159,2,54
